Horodateur	Votre université :	Votre classement :	Note à l'UC1 : (avec une virgule et pas un point)	UC1/20	Note à l'UC2 : (avec une virgule et pas un point)	UC2/20	Note à l'UC3 : (avec une virgule et pas un point)	UC3/20	Note à la LCA : (avec une virgule et pas un point)	LCA/20	Votre classement au concours blancs (après l'ensemble des UC d'avril) ?	Note total
30/06/2023 13:08	Lille état	125	83,3	17,54	82,87	17,45	84,57	17,8	33,4	12,85	34	284,14
30/06/2023 13:08	Paris	5585	69,05	14,54	75,73	15,94	73,4	15,45	23,4	9	7654	241,58
30/06/2023 13:08	Paris 13	3707	74,9	15,77	77,4	16,29	74,4	15,66	26,4	10,15	1266	253,1
30/06/2023 13:08	Toulouse	1540	79,9	16,82	78,78	16,59	74,47	15,68	33,2	12,77	2500	266,35
30/06/2023 13:08	Brest	875	84,25	17,74	79,42	16,72	75,07	15,8	33,2	12,77	2381	271,94
30/06/2023 13:08	Paris 7	8636	62,07	13,07	56,4	11,87	62,88	13,24	26	10	Pas fait	207,35
30/06/2023 13:09	Paris 5	6501	70,95	14,94	73,2	15,41	68,18	14,35	22,4	8,62	5995	234,73
30/06/2023 13:09	Tours	2698	79,15	16,66	78,1	16,44	76,83	16,17	24,8	9,54	1696	258,88
30/06/2023 13:09	Angers	495	83,3	17,54	82,23	17,31	77,8	16,38	33	12,69	332	276,33
30/06/2023 13:09	Angers	1981	77,4	16,29	75,68	15,93	79,02	16,64	31,2	12	1806	263,3
30/06/2023 13:09	Caen	1380	78,15	16,45	75,72	15,94	78,6	16,55	35	13,46	471	267,47
30/06/2023 13:09	Lille	6662	71,95	15,15	68,77	14,48	65,93	13,88	26,6	10,23	4560	233,25
30/06/2023 13:10	Sorbonne université	4617	71,35	15,02	79,85	16,81	72	15,16	24,2	9,31	2100	247,4
30/06/2023 13:10	Grenoble	179	83,5	17,58	82,72	17,41	79,53	16,74	36,4	14	155	282,15
30/06/2023 13:10	P6	1069	79,4	16,72	83,68	17,62	76,32	16,07	30,6	11,77	380	270
30/06/2023 13:11	Université de Paris	2335	78,1	16,44	74,3	15,64	78,4	16,51	30,2	11,62	4091	261
30/06/2023 13:11	Marseille	1351	79,45	16,73	76,52	16,11	77,72	16,36	34	13,08	3101	267,69
30/06/2023 13:11	Lille	2917	72,5	15,26	77,08	16,23	77,1	16,23	31	11,92	1430	257,68
30/06/2023 13:11	Lille	469	81,2	17,09	82,93	17,46	77,23	16,26	35,4	13,62	400	276,76
30/06/2023 13:12	Nantes	538	76,05	16,01	82,37	17,34	79,27	16,69	38,2	14,69	1830	275,89
30/06/2023 13:12	Nimes Montpellier	8713	58,65	12,35	61,82	13,01	65,3	13,75	20	7,69	7229	205,77
30/06/2023 13:12	Rennes	421	80,1	16,86	82,28	17,32	80,23	16,89	34,8	13,38	1458	277,41
30/06/2023 13:13	Toulouse	3825	73,1	15,39	78	16,42	70,35	14,81	31,2	12	3620	252,65
30/06/2023 13:13	Montpellier	7951	60,2	12,67	68,4	14,4	62,48	13,15	28,8	11,08	7700	219,88
30/06/2023 13:14	Strabourg	6560	73,1	15,39	71,53	15,06	66,78	14,06	22,8	8,77	3500	234,21
30/06/2023 13:14	lille catho	1526	77,95	16,41	81,93	17,25	74,33	15,65	32,2	12,38	3444	266,41
30/06/2023 13:14	Tours	3081	75,45	15,88	76,25	16,05	73,52	15,48	31,4	12,08	2699	256,62
30/06/2023 13:14	Paris 6	230	81,95	17,25	83,87	17,66	83,57	17,59	31,6	12,15	900	280,99
30/06/2023 13:14	Besançon	3211	78,65	16,56	74,48	15,68	72,87	15,34	29,8	11,46	1921	255,8
30/06/2023 13:15	Nancy	6535	67,45	14,2	72,77	15,32	69,8	14,69	24,4	9,38	6027	234,42
30/06/2023 13:17	Toulouse	3589	79,45	16,73	76,8	16,17	67,75	14,26	29,8	11,46	5550	253,8
30/06/2023 13:17	Rouen	932	81,6	17,18	78,42	16,51	76,77	16,16	34,4	13,23	1028	271,19
30/06/2023 13:17	Nice	61	82,1	17,28	84,92	17,88	84,4	17,77	36,6	14,08	9	288,02
30/06/2023 13:17	bordeaux	294	84,4	17,77	77,42	16,3	84,2	17,73	33,8	13	1208	279,82
30/06/2023 13:17	Tours	1589	77	16,21	78	16,42	73	15,37	36	13,85	644	264
30/06/2023 13:17	Paris 7	843	78,45	16,52	81,05	17,06	73,55	15,48	39,2	15,08	702	272,25
